t,tRel,x,y,z,alpha,beta,gamma
1396967532284,0,0.18331,-0.44046,-1.0117,275.1349,20.9031,2.1124
1396967532327,0.043,0.062848,-0.34687,-0.8903,274.381,20.7722,2.2236
1396967532448,0.164,0.04766,-0.35596,-0.91559,274.0475,20.5852,2.7651
1396967532495,0.211,0.089034,-0.35991,-0.92982,273.8243,20.2082,2.8491
1396967532539,0.255,0.052987,-0.31861,-0.90766,274.1174,20.2434,2.6995
1396967532584,0.3,0.013976,-0.33927,-0.93797,273.9507,20.0401,2.6897
1396967532633,0.349,0.080445,-0.36717,-0.92796,274.1539,20.0066,2.2474
1396967532681,0.397,0.034821,-0.30905,-0.96187,273.5417,19.7964,3.2733
1396967532725,0.441,0.046058,-0.36925,-0.95912,273.9064,19.712,2.7122
1396967532782,0.498,0.027833,-0.29926,-0.91162,273.4147,19.9505,3.4239
1396967532828,0.544,0.079368,-0.35035,-0.94047,273.8542,19.7883,2.8551
1396967532902,0.618,0.03916,-0.279,-0.925,273.5488,19.9067,3.686
1396967532951,0.667,0.064808,-0.34699,-0.90383,274.2332,19.7647,2.9966
1396967532996,0.712,0.0391,-0.28445,-0.89022,274.2668,19.821,3.6548
1396967533043,0.759,0.1207,-0.29209,-0.87622,274.9778,19.447,3.3512
1396967533202,0.918,-1.4771,-0.50528,-1.9212,273.5431,20.6442,3.8109
1396967533261,0.977,-0.9486,-0.13396,-1.9097,256.6028,31.2044,1.0144
1396967533313,1.029,-0.12121,0.13515,-1.6908,244.8891,38.8488,-1.1552
1396967533367,1.083,0.94632,0.17541,-1.0673,231.8184,44.338,1.2991
1396967533418,1.134,1.5594,0.36199,-0.48088,222.1827,48.3562,3.2035
1396967533462,1.178,1.4042,-0.026022,-0.41282,218.6659,49.6882,3.5876
1396967533508,1.224,0.7771,-0.014245,-0.35199,221.3527,51.6289,-2.1467
1396967533553,1.269,0.7771,-0.014245,-0.35199,221.3527,51.6289,-2.1467
1396967533601,1.317,0.88045,0.10656,-0.38084,222.8899,52.3374,-4.7303
1396967533647,1.363,0.8323,0.27705,-0.61435,229.1767,52.1378,-8.6484
1396967533697,1.413,0.87505,0.41985,-0.67539,239.165,50.6303,-14.7084
1396967533743,1.459,0.47399,0.3865,-0.60362,251.4057,46.0506,-20.1148
1396967533790,1.506,-0.50551,-0.52611,-1.0869,258.0737,39.7811,-16.3667
1396967533840,1.556,-1.3995,-1.0405,-1.2483,262.0372,33.7439,-9.1082
1396967533912,1.628,-0.796,-1.1401,-1.4072,259.3974,26.3888,5.6809
1396967533963,1.679,-0.796,-1.1401,-1.4072,259.3974,26.3888,5.6809
1396967534014,1.73,-1.764,-0.53069,-1.554,254.0841,24.1065,5.7784
1396967534061,1.777,-0.95268,-0.010086,-1.1245,245.3551,26.7279,0.86009
1396967534119,1.835,-0.95268,-0.010086,-1.1245,245.3551,26.7279,0.86009
1396967534167,1.883,0.24823,-0.17307,-0.95032,224.9333,31.9857,-7.263
1396967534221,1.937,0.17099,-0.084306,-1.3844,216.4476,32.4015,-8.6794
1396967534273,1.989,0.86265,-0.36109,-1.4951,205.15,32.4114,-10.1798
1396967534323,2.039,0.64994,-0.49859,-0.87366,204.3378,32.3965,-12.1738
1396967534375,2.091,0.64994,-0.49859,-0.87366,204.3378,32.3965,-12.1738
1396967534419,2.135,-0.0019902,-0.3647,-0.67142,204.5395,31.873,-11.7735
1396967534467,2.183,-0.18706,-0.42704,-0.79655,204.6072,31.1592,-10.8942
