t,tRel,x,y,z,alpha,beta,gamma
1396975149261,0,0.14578,-0.40294,-0.81946,13.2074,25.7781,10.3962
1396975149306,0.045,0.13831,-0.41412,-0.84467,13.5563,25.3545,10.1452
1396975149431,0.17,0.15486,-0.41303,-0.9161,14.0767,24.4455,9.9342
1396975149476,0.215,0.15947,-0.40276,-0.90152,14.2515,24.1244,10.1669
1396975149527,0.266,0.16065,-0.41786,-0.91511,14.4272,23.8863,10.2831
1396975149572,0.311,0.14853,-0.3817,-0.86383,14.8378,23.757,10.4348
1396975149628,0.367,0.14853,-0.3817,-0.86383,14.8378,23.757,10.4348
1396975149678,0.417,0.13123,-0.38674,-0.83302,15.0587,23.7255,10.3755
1396975149726,0.465,0.17211,-0.35311,-0.8278,15.2102,23.3254,10.3483
1396975149771,0.51,0.17211,-0.35311,-0.8278,15.2102,23.3254,10.3483
1396975149818,0.557,0.18175,-0.2986,-0.73765,15.4024,22.9201,10.2549
1396975149865,0.604,0.12712,-0.091892,-0.31969,16.8957,20.5141,9.1385
1396975149909,0.648,0.12712,-0.091892,-0.31969,16.8957,20.5141,9.1385
1396975149955,0.694,-0.078814,0.001631,-0.45883,17.4866,17.2069,9.7735
1396975150000,0.739,0.10805,-0.12291,-1.3772,17.8645,8.41,9.0077
1396975150204,0.943,-0.41288,-0.28914,-1.7262,15.046,4.2379,9.4576
1396975150253,0.992,-0.29465,-0.32605,-1.9401,13.1701,6.5311,6.9787
1396975150317,1.056,-0.20023,-0.1926,-1.9216,10.6657,10.8403,3.7309
1396975150362,1.101,-0.11079,-0.038996,-1.6382,7.1084,16.9994,0.94158
1396975150412,1.151,0.094646,0.076809,-1.1977,2.9509,23.5121,-0.60645
1396975150457,1.196,0.23266,0.17957,-0.9133,358.6766,30.1416,-2.0166
1396975150505,1.244,0.41086,0.25238,-0.2257,352.8057,37.5631,-0.52561
1396975150560,1.299,0.56484,-0.034925,0.034087,348.3508,41.598,-1.2079
1396975150609,1.348,0.46593,-0.22812,-0.16055,345.5748,43.5126,-1.3098
1396975150662,1.401,0.338,-0.38981,-0.38523,343.3927,45.0054,-0.26614
1396975150705,1.444,0.29556,-0.59249,-0.49937,342.1721,46.0557,-0.040262
1396975150749,1.488,0.29556,-0.59249,-0.49937,342.1721,46.0557,-0.040262
1396975150796,1.535,0.21573,-0.66438,-0.49337,342.1191,46.8942,-0.45177
1396975150841,1.58,0.070943,-0.73879,-0.57576,342.9662,46.9976,-0.9697
1396975150887,1.626,0.0038756,-0.73994,-0.59262,343.7367,47.2228,-1.3176
1396975150932,1.671,-0.063895,-0.75534,-0.64917,344.6249,47.0095,-1.7228
1396975150986,1.725,-0.018106,-0.73679,-0.63141,345.0124,47.0902,-1.7917
1396975151031,1.77,-0.0268,-0.71618,-0.67971,345.4942,46.9407,-1.8846
1396975151081,1.82,-0.033639,-0.70755,-0.67198,345.9845,46.8487,-1.9885
1396975151128,1.867,-0.05565,-0.70984,-0.68372,346.5938,46.6877,-2.3041
1396975151196,1.935,-0.048961,-0.70539,-0.69333,347.0657,46.5564,-2.5931
1396975151239,1.978,-0.031663,-0.70584,-0.69709,347.3453,46.2992,-2.6052
1396975151283,2.022,-0.038472,-0.70466,-0.6778,347.5689,46.2624,-2.5775
1396975151333,2.072,-0.038771,-0.68483,-0.65357,347.8125,46.2518,-2.6119
1396975151381,2.12,-0.03283,-0.69263,-0.6787,348.0442,46.1012,-2.713
1396975151426,2.165,-0.03105,-0.68507,-0.66224,348.165,45.9217,-2.7225
