t,tRel,x,y,z,alpha,beta,gamma
1396973098549,0,0.13041,-0.39889,-0.83209,334.5348,25.0087,8.9387
1396973098603,0.054,0.13364,-0.41146,-0.89591,334.8741,25.6343,8.7604
1396973098721,0.172,0.095155,-0.42786,-0.81505,334.8168,29.6427,8.9976
1396973098771,0.222,0.10391,-0.45587,-0.75711,334.4967,31.1605,9.3488
1396973098815,0.266,0.12873,-0.4591,-0.71347,334.1838,31.6024,9.8667
1396973098909,0.36,0.22417,-0.55282,-0.80215,334.5264,29.3132,11.1064
1396973098958,0.409,0.24801,-0.60754,-1.1356,337.1021,26.7256,9.4869
1396973099002,0.453,0.0065841,-0.62185,-1.4948,341.4653,23.818,7.0166
1396973099049,0.5,-0.044712,-0.59457,-1.7347,344.3541,23.6259,5.5497
1396973099093,0.544,0.17273,-0.42032,-1.3451,344.8686,28.6207,4.8067
1396973099142,0.593,0.21489,-0.29374,-0.90462,344.7887,36.3316,4.0195
1396973099187,0.638,0.21489,-0.29374,-0.90462,344.7887,36.3316,4.0195
1396973099233,0.684,0.10098,-0.16417,-0.29887,344.4275,44.5351,4.2943
1396973099277,0.728,-0.011088,-0.12109,0.065856,343.8641,51.2211,4.7375
1396973099427,0.878,-0.16182,-0.056383,0.42952,341.0373,54.5241,6.9269
1396973099480,0.931,0.044457,0.7321,-0.17783,328.1131,34.6518,23.9717
1396973099523,0.974,0.45915,0.58242,-1.3935,326.8171,19.5467,25.5614
1396973099581,1.032,0.72318,-0.031963,-1.9325,330.3051,6.4966,19.3486
1396973099636,1.087,0.30896,-0.23668,-1.9359,329.5934,-0.66276,18.8179
1396973099685,1.136,0.22989,-0.20375,-1.9363,326.058,-2.9334,18.3699
1396973099729,1.18,-0.38678,0.080206,-1.8724,322.9945,-2.7131,15.8654
1396973099776,1.227,-0.58148,0.2397,-1.8788,319.2835,-2.6663,11.5571
1396973099829,1.28,-0.20075,0.36455,-1.9194,313.0403,-0.82579,6.7479
1396973099929,1.38,0.64266,0.46645,-1.3551,299.3753,6.7539,-5.6843
1396973099976,1.427,0.68938,0.2985,-0.99305,292.6751,11.018,-8.0407
1396973100038,1.489,0.67895,0.18251,-0.64373,287.1205,14.6502,-9.5386
1396973100086,1.537,0.53876,0.044742,-0.45475,283.0513,17.8193,-10.7908
1396973100133,1.584,0.40903,-0.079338,-0.28693,279.8566,20.8577,-10.8615
1396973100179,1.63,0.25708,-0.22981,-0.26335,277.2225,23.4495,-9.308
1396973100225,1.676,0.13825,-0.31874,-0.30698,275.6705,25.0801,-8.8687
1396973100271,1.722,0.011791,-0.37619,-0.46359,274.9536,24.9542,-9.1367
1396973100317,1.768,-0.10391,-0.42222,-0.71192,274.935,23.3271,-10.4384
1396973100362,1.813,-0.083977,-0.42285,-0.92344,273.641,21.9459,-9.1869
1396973100409,1.86,-0.083977,-0.42285,-0.92344,273.641,21.9459,-9.1869
1396973100459,1.91,-0.11833,-0.41671,-0.99997,273.5407,21.2289,-8.699
1396973100503,1.954,-0.14765,-0.37192,-0.99419,274.0198,20.8222,-7.9931
1396973100552,2.003,-0.14765,-0.37192,-0.99419,274.0198,20.8222,-7.9931
1396973100597,2.048,-0.07648,-0.32373,-0.91236,273.9147,21.5585,-6.4082
1396973100642,2.093,-0.12122,-0.36184,-0.8983,274.2385,22.9278,-5.0208
1396973100687,2.138,-0.12122,-0.36184,-0.8983,274.2385,22.9278,-5.0208
1396973100732,2.183,-0.14391,-0.39675,-0.88506,274.4006,23.3947,-4.8999
