t,tRel,x,y,z,alpha,beta,gamma
1396973177641,0,0.0096217,-0.033055,-0.95324,338.0082,1.9914,1.3706
1396973177683,0.042,0.012525,-0.03316,-0.95901,336.9987,1.8133,1.0426
1396973177805,0.164,0.051595,0.009517,-1.0214,336.3804,1.1607,2.1002
1396973177926,0.285,0.055725,-0.030571,-0.97031,335.8186,1.9543,5.3361
1396973177972,0.331,0.055725,-0.030571,-0.97031,335.8186,1.9543,5.3361
1396973178017,0.376,0.07422,-0.040642,-1.0157,335.7395,1.8471,5.6857
1396973178065,0.424,0.069806,0.005387,-0.99907,335.3392,1.2455,5.3805
1396973178110,0.469,0.11344,-0.031304,-1.0067,334.9502,1.1715,4.9991
1396973178161,0.52,0.11344,-0.031304,-1.0067,334.9502,1.1715,4.9991
1396973178205,0.564,0.13065,-0.0372,-0.97085,334.9819,1.9942,4.1677
1396973178257,0.616,-0.0039953,-0.025962,-0.9156,336.1521,2.8216,3.618
1396973178307,0.666,-0.0039953,-0.025962,-0.9156,336.1521,2.8216,3.618
1396973178351,0.71,-0.93688,0.15006,-1.2204,337.0149,4.9199,4.8413
1396973178400,0.759,-0.71751,0.093105,-1.1854,332.7782,4.9513,3.201
1396973178540,0.899,-0.22043,0.27224,-1.1893,321.7825,5.6204,-0.62355
1396973178591,0.95,0.35671,0.78036,-0.71784,311.7442,5.8179,-1.2963
1396973178637,0.996,0.35671,0.78036,-0.71784,311.7442,5.8179,-1.2963
1396973178692,1.051,0.90345,0.4837,-0.49325,303.9883,6.3594,8.0141
1396973178737,1.096,1.6719,0.031693,-0.040761,293.5792,8.6872,29.2168
1396973178788,1.147,1.0858,-0.16801,-0.30424,284.8525,10.3118,52.8568
1396973178833,1.192,0.8969,-0.30908,0.099883,281.1422,8.8257,62.6862
1396973178904,1.263,0.99837,-0.27487,-0.2134,284.3844,2.5662,71.642
1396973178948,1.307,0.96727,-0.11645,-0.34248,285.959,1.2515,77.1487
1396973178994,1.353,1.0269,-0.15405,-0.25142,287.0383,0.39942,79.754
1396973179040,1.399,1.0269,-0.15405,-0.25142,287.0383,0.39942,79.754
1396973179086,1.445,1.012,-0.049321,-0.1728,286.9474,0.39528,80.8953
1396973179131,1.49,1.0651,-0.014709,-0.084411,286.7727,0.39255,81.1622
1396973179176,1.535,1.1513,-0.11254,-0.29782,287.2262,0.84458,80.6697
1396973179227,1.586,1.0544,-0.062608,-0.17549,285.9648,2.2049,80.8581
1396973179273,1.632,0.96058,-0.026052,-0.088002,285.1961,2.867,80.8812
1396973179321,1.68,0.96687,-0.056428,-0.13639,285.249,2.8717,80.5696
1396973179375,1.734,0.94297,-0.068908,-0.13081,285.3991,3.0586,80.3674
1396973179424,1.783,0.9325,-0.073307,-0.13571,285.7159,3.4002,80.2607
1396973179470,1.829,0.93353,-0.078051,-0.14057,286.1204,3.9488,80.5866
1396973179516,1.875,0.92816,-0.11904,-0.12336,286.5154,5.026,81.2976
1396973179560,1.919,0.94653,-0.054737,-0.091099,287.1532,5.5446,81.8627
1396973179606,1.965,0.92666,-0.056533,-0.17436,287.9975,5.7686,82.1472
1396973179654,2.013,0.96346,-0.076315,-0.20319,288.8614,5.6975,81.8597
1396973179703,2.062,0.96429,-0.064195,-0.20797,289.321,5.5201,81.4554
1396973179748,2.107,0.99518,-0.088256,-0.17596,289.4056,5.375,81.0607
1396973179795,2.154,1.0114,-0.083019,-0.16813,289.1812,5.4895,81.1062
