t,tRel,x,y,z,alpha,beta,gamma
1396975133254,0,0.13342,-0.29368,-0.93799,10.2986,17.3726,7.2891
1396975133328,0.074,0.093838,-0.27023,-0.94878,8.2059,15.4018,6.3988
1396975133447,0.193,0.077033,-0.22027,-0.96898,5.8404,13.8175,4.2231
1396975133495,0.241,0.058718,-0.22615,-0.9266,6.0233,13.766,4.092
1396975133540,0.286,0.071272,-0.22381,-0.95551,6.0365,13.4526,3.9815
1396975133588,0.334,0.078814,-0.21368,-0.95349,5.9914,13.2032,4.0752
1396975133633,0.379,0.080909,-0.22874,-0.95354,5.9957,12.982,4.1088
1396975133682,0.428,0.053974,-0.22055,-0.96042,5.977,12.8881,4.0879
1396975133735,0.481,0.075043,-0.21183,-0.97284,5.9727,12.7651,4.1582
1396975133781,0.527,0.035255,-0.20098,-0.88219,5.9611,12.6823,4.1509
1396975133828,0.574,0.082465,-0.20426,-0.92153,5.9565,12.3323,4.3562
1396975133874,0.62,0.050907,-0.14515,-0.87318,6.1008,12.1432,4.6522
1396975133921,0.667,0.045415,-0.12281,-0.74074,5.904,11.3067,5.1597
1396975133967,0.713,0.0010175,-0.042542,-0.64696,5.949,9.8444,5.0764
1396975134113,0.859,-0.084426,0.076644,-0.46437,5.9058,7.5826,4.8221
1396975134205,0.951,0.063656,-0.020994,-1.6371,0.99135,-7.8782,5.9158
1396975134257,1.003,0.10406,-0.11935,-1.6217,358.9235,-8.037,6.7232
1396975134320,1.066,-0.0473,-0.08688,-1.5221,357.0766,-6.3039,7.1473
1396975134371,1.117,-0.18992,-0.032726,-1.5372,354.9995,-3.4589,7.2619
1396975134419,1.165,-0.15121,-0.0083498,-1.708,352.2372,0.48273,7.0713
1396975134481,1.227,-0.086356,0.0043844,-1.6312,348.9264,6.236,5.9751
1396975134525,1.271,0.04534,0.036182,-1.5239,344.5757,13.5238,6.1386
1396975134574,1.32,0.21325,0.068429,-1.3304,340.1166,22.2722,5.7002
1396975134633,1.379,0.39298,0.12013,-0.73372,328.1248,42.2048,10.0822
1396975134683,1.429,0.39298,0.12013,-0.73372,328.1248,42.2048,10.0822
1396975134772,1.518,0.46862,0.038771,-0.13627,320.4544,52.0309,14.3492
1396975134816,1.562,0.2504,-0.4568,0.18895,313.736,62.7021,17.6884
1396975134865,1.611,0.2504,-0.4568,0.18895,313.736,62.7021,17.6884
1396975134910,1.656,0.095589,-0.78638,-0.60286,321.2642,59.2438,10.3322
1396975134965,1.711,0.089334,-0.84493,-0.54996,321.8833,58.5584,10.3562
1396975135009,1.755,0.10684,-0.88253,-0.48815,322.4354,57.9221,10.2829
1396975135057,1.803,0.092566,-0.87315,-0.55973,323.1724,57.1638,10.2419
1396975135103,1.849,0.11343,-0.84846,-0.56723,323.8762,56.5523,9.6723
1396975135181,1.927,0.11492,-0.81286,-0.55742,323.9607,56.0327,10.0465
1396975135225,1.971,0.1015,-0.80792,-0.57486,324.4553,55.7693,9.7982
1396975135272,2.018,0.11094,-0.81163,-0.52168,324.707,55.7007,9.7656
1396975135317,2.063,0.083273,-0.8176,-0.5441,324.9582,55.5992,9.9106
1396975135362,2.108,0.090965,-0.8197,-0.54791,325.3669,55.537,9.587
1396975135407,2.153,0.090187,-0.82266,-0.58854,325.715,55.2888,9.4695
1396975135459,2.205,0.083303,-0.80752,-0.58851,325.9877,55.15,9.3478
1396975135508,2.254,0.071841,-0.82118,-0.56931,326.2574,55.2259,9.1163
