t,tRel,x,y,z,alpha,beta,gamma
1397037470368,0,-0.093853,0.30372,-0.98445,308.8058,-17.372,3.3776
1397037470420,0.052,-0.037574,0.32491,-0.9502,308.3629,-17.2688,3.3932
1397037470461,0.093,0.13372,0.28671,-0.96664,307.3757,-17.2858,3.582
1397037470560,0.192,0.10078,0.30456,-0.93684,307.2151,-17.1106,3.429
1397037470610,0.242,0.046881,0.31352,-0.91877,307.1926,-17.0547,3.6617
1397037470666,0.298,0.050039,0.2983,-0.95072,307.2055,-17.1723,3.518
1397037470714,0.346,0.064284,0.30002,-0.91099,306.9765,-17.2144,3.923
1397037470759,0.391,0.011268,0.32655,-0.93152,306.8304,-17.5357,3.67
1397037470812,0.444,-0.033788,0.41102,-0.93631,306.4217,-17.6087,4.0623
1397037470863,0.495,0.010654,0.36615,-0.88208,305.8249,-17.6255,4.0394
1397037470912,0.544,-0.24627,0.36763,-0.97067,305.6703,-17.9213,4.7314
1397037470958,0.59,-0.39869,0.43437,-0.95786,304.521,-17.7878,6.1144
1397037471115,0.747,-0.30442,0.54633,-1.1115,292.2908,-18.1129,4.6313
1397037471165,0.797,-0.28639,0.58398,-1.1711,285.7392,-17.7768,3.2309
1397037471215,0.847,-0.1854,0.64881,-1.1634,278.1344,-16.5456,1.5831
1397037471271,0.903,-0.19998,0.6605,-1.1519,270.7174,-14.79,-0.57882
1397037471324,0.956,-0.12716,0.68187,-1.1842,262.6807,-12.4143,-2.4568
1397037471374,1.006,-0.021234,0.69296,-1.0453,253.8412,-9.0093,-3.7453
1397037471426,1.058,0.23779,0.58285,-0.94068,244.9068,-5.2381,-4.9331
1397037471477,1.109,0.41301,0.44454,-0.92561,236.4236,-1.3344,-4.2954
1397037471578,1.21,0.26284,0.18691,-0.78645,225.5247,4.9543,-0.89732
1397037471627,1.259,0.31577,0.094616,-0.80679,221.299,7.072,1.2395
1397037471685,1.317,0.28835,-0.090441,-0.8821,214.6033,10.8547,9.5296
1397037471731,1.363,0.37628,-0.13867,-0.8972,208.8499,12.3156,23.1212
1397037471779,1.411,0.37628,-0.13867,-0.8972,208.8499,12.3156,23.1212
1397037471831,1.463,0.80128,-0.095723,-0.42464,193.376,9.9114,66.5275
1397037471879,1.511,0.79187,-0.064464,-0.02062,187.6511,7.4703,85.5591
1397037471928,1.56,0.87345,0.012689,0.28557,182.9365,5.7279,94.939
1397037471973,1.605,0.94046,0.0029179,0.36618,181.0058,6.8059,92.6223
1397037472026,1.658,0.94834,-0.10068,0.091354,181.525,8.1824,89.2492
1397037472072,1.704,0.91461,-0.13972,-0.022057,181.9351,8.7533,88.8305
1397037472117,1.749,0.88738,-0.12287,0.025184,181.4888,9.0817,88.3889
1397037472166,1.798,0.96714,-0.12869,0.018884,181.0046,8.7542,88.6637
1397037472212,1.844,0.96407,-0.11823,0.036302,180.7195,8.6978,88.6876
1397037472258,1.89,0.94614,-0.13572,0.0042497,180.7133,8.5188,88.9277
1397037472305,1.937,0.99511,-0.13054,-0.019573,180.864,8.3524,88.8137
1397037472356,1.988,0.93974,-0.15076,-0.041285,180.9334,8.4116,89.0269
1397037472402,2.034,0.98536,-0.12178,-0.0021997,180.8013,8.1011,89.2193
1397037472448,2.08,0.97404,-0.13282,-0.021653,181.1058,8.109,88.9845
1397037472492,2.124,0.91078,-0.13412,-0.043335,181.4845,8.0162,88.6059
1397037472589,2.221,0.99359,-0.14858,-0.074744,181.9688,7.7942,87.3979
