t,tRel,x,y,z,alpha,beta,gamma
1396974322909,0,0.10575,-0.2356,-0.89542,74.6552,13.0748,7.4902
1396974322990,0.081,0.0057311,-0.20515,-0.93362,75.5629,12.7874,6.9505
1396974323117,0.208,0.086057,-0.26989,-0.91886,74.5417,12.114,7.6644
1396974323160,0.251,0.071227,-0.22927,-0.92653,74.6086,11.9759,7.0408
1396974323211,0.302,0.11488,-0.17714,-0.94828,74.4182,11.9059,6.8971
1396974323253,0.344,0.14443,-0.21671,-1.0352,74.2844,11.5383,7.0909
1396974323299,0.39,0.084231,-0.24786,-1.0203,74.4474,11.3757,6.8183
1396974323346,0.437,0.03925,-0.32474,-1.0827,75.2955,11.2362,5.8667
1396974323400,0.491,0.062953,-0.24523,-0.97787,75.4387,12.0135,5.3191
1396974323465,0.556,0.22254,-0.27268,-0.96343,73.5857,14.1717,6.9224
1396974323515,0.606,0.22254,-0.27268,-0.96343,73.5857,14.1717,6.9224
1396974323563,0.654,0.11648,-0.067112,-0.65888,73.5621,16.4137,6.398
1396974323612,0.703,0.16313,0.26433,-0.23207,74.051,16.6048,6.277
1396974323658,0.749,-0.058044,0.55067,0.085593,74.6829,14.6783,8.4199
1396974323823,0.914,-0.13838,-0.22612,-1.9387,73.1673,-14.1209,11.7611
1396974323875,0.966,-1.1193,-0.050144,-1.9443,70.7629,-16.3572,12.9903
1396974323949,1.04,-1.2726,0.26839,-1.944,63.6757,-15.2966,10.5241
1396974324001,1.092,-1.0798,0.61459,-1.9414,53.4521,-11.4172,5.9397
1396974324091,1.182,-0.92862,1.2568,-1.938,43.1733,-3.1056,-1.2829
1396974324136,1.227,0.36744,1.8904,-1.3223,12.1406,26.7212,2.4748
1396974324186,1.277,0.66447,1.6671,-0.44861,356.1661,40.0605,7.9054
1396974324235,1.326,0.81391,1.228,-0.046373,342.3716,48.8088,12.3744
1396974324281,1.372,0.87727,0.55243,0.2017,333.7864,52.7356,13.0238
1396974324327,1.418,0.76993,0.20581,0.17549,325.9516,54.3799,16.2609
1396974324375,1.466,0.97321,-0.28543,0.16135,315.9836,54.7975,24.3935
1396974324421,1.512,1.026,-0.49454,0.0052822,310.9487,54.434,27.4766
1396974324466,1.557,0.84388,-0.59297,-0.022341,309.4719,54.4096,27.9928
1396974324514,1.605,0.84388,-0.59297,-0.022341,309.4719,54.4096,27.9928
1396974324559,1.65,0.61758,-0.64976,-0.18151,311.4047,53.601,25.868
1396974324604,1.695,0.43711,-0.67502,-0.36155,314.6009,52.0807,23.4796
1396974324649,1.74,0.32911,-0.74897,-0.53648,318.1327,50.3983,20.5888
1396974324695,1.786,0.32459,-0.61016,-0.51567,320.7894,49.3142,18.169
1396974324738,1.829,0.38752,-0.64156,-0.29021,322.134,49.0221,17.3985
1396974324786,1.877,0.21121,-0.59053,-0.54145,327.9709,47.3692,12.1166
1396974324831,1.922,-0.12799,-0.80008,-1.1252,335.6962,41.3923,5.939
1396974324888,1.979,-0.023912,-0.77246,-1.0597,335.1694,39.8305,6.5434
1396974324935,2.026,-0.023912,-0.77246,-1.0597,335.1694,39.8305,6.5434
1396974324981,2.072,0.29447,-0.70511,-0.9347,334.0135,38.4994,9.9814
1396974325027,2.118,0.15749,-0.60256,-0.79019,336.1941,38.9561,8.6362
1396974325101,2.192,0.15749,-0.60256,-0.79019,336.1941,38.9561,8.6362
1396974325147,2.238,0.032202,-0.66542,-0.71199,339.7953,39.4367,7.1976
