t,tRel,x,y,z,alpha,beta,gamma
1396973161639,0,0.038906,1.4964e-05,-0.92778,345.8534,-1.727,13.8838
1396973161671,0.032,0.038906,1.4964e-05,-0.92778,345.8534,-1.727,13.8838
1396973161803,0.164,0.23836,-0.083513,-0.88238,334.557,0.093469,13.0411
1396973161870,0.231,-0.026246,0.15956,-0.62701,335.3248,1.408,14.3597
1396973161931,0.292,-0.023284,0.022984,-0.77247,335.5413,0.3507,14.8492
1396973161976,0.337,0.015293,-0.11233,-0.67033,335.2875,-0.024348,15.3472
1396973162023,0.384,0.24582,-0.15571,-0.85943,334.6794,-0.84417,15.3834
1396973162068,0.429,0.51694,0.051386,-1.1159,334.1687,-0.94044,15.8159
1396973162113,0.474,0.42822,0.055635,-1.2807,334.6211,-1.4844,15.754
1396973162160,0.521,0.37471,0.020725,-1.2358,335.2854,-1.8165,14.9912
1396973162205,0.566,0.24452,-0.016999,-1.2165,335.4245,-1.9284,15.2553
1396973162256,0.617,0.14495,0.051445,-0.95397,335.2507,-0.55697,15.0916
1396973162303,0.664,0.24295,0.089349,-1.1098,334.5002,0.3705,15.8611
1396973162348,0.709,0.43971,0.16589,-1.0812,333.4209,0.77748,15.1613
1396973162392,0.753,0.46962,0.052059,-1.036,332.2298,1.2341,15.1163
1396973162545,0.906,0.36524,-0.11369,-0.83145,328.5685,3.507,12.4248
1396973162599,0.96,0.22247,-0.01233,-0.95566,329.724,3.1018,10.4605
1396973162649,1.01,-0.009921,0.0093972,-0.98604,332.3253,2.7176,8.4058
1396973162700,1.061,-0.49738,0.15288,-1.2031,335.0991,2.3846,7.1411
1396973162746,1.107,-0.79954,0.15479,-1.2553,336.8307,2.6684,6.0933
1396973162793,1.154,-0.93398,0.26191,-1.3079,336.6494,3.1175,4.4999
1396973162840,1.201,-0.93398,0.26191,-1.3079,336.6494,3.1175,4.4999
1396973162915,1.276,-0.67925,0.56719,-1.307,330.469,2.9082,-4.1594
1396973162961,1.322,-0.46946,0.70939,-1.3757,324.1382,3.6032,-8.9452
1396973163006,1.367,0.036916,0.84632,-1.1632,318.0314,4.0575,-14.1117
1396973163055,1.416,0.49006,0.46156,-1.0584,310.3149,4.1731,-18.7985
1396973163102,1.463,0.48245,-0.21311,-0.82432,298.799,6.7617,-21.5316
1396973163149,1.51,0.48245,-0.21311,-0.82432,298.799,6.7617,-21.5316
1396973163197,1.558,0.4757,-0.20279,-0.84943,295.9338,8.2262,-21.399
1396973163243,1.604,0.4757,-0.20279,-0.84943,295.9338,8.2262,-21.399
1396973163288,1.649,0.11211,-0.40432,-0.51814,293.9236,7.6273,-18.9137
1396973163381,1.742,0.40387,-0.2302,-0.5224,294.2427,6.8214,-6.3661
1396973163428,1.789,1.1438,-0.36082,-0.92702,287.8829,13.8848,56.8769
1396973163478,1.839,0.97058,-0.23736,-0.3497,289.9722,16.034,75.5853
1396973163528,1.889,0.78687,-0.28832,-0.62457,292.7386,17.5278,86.961
1396973163574,1.935,0.82949,-0.29274,-0.16622,294.0176,17.2107,89.9263
1396973163621,1.982,0.89748,-0.30532,-0.083692,293.9612,15.9161,91.0168
1396973163680,2.041,1.0031,-0.33652,0.026052,293.6209,14.6684,90.2405
1396973163725,2.086,0.94056,-0.25051,0.052059,292.9442,14.4116,89.718
1396973163771,2.132,0.93764,-0.24669,0.050129,292.5672,14.4194,89.1894
1396973163816,2.177,0.95283,-0.22196,0.017478,292.3887,14.2537,88.6381
