t,tRel,x,y,z,alpha,beta,gamma
1396974394372,0,0.078859,0.17915,-0.85144,72.9071,-7.0513,5.8191
1396974394418,0.046,0.1066,0.14956,-1.005,72.3777,-7.0529,5.8007
1396974394555,0.183,0.1066,0.14956,-1.005,72.3777,-7.0529,5.8007
1396974394607,0.235,0.13189,0.10606,-0.95963,71.3926,-6.6746,5.9546
1396974394651,0.279,0.040971,0.10523,-1.0337,71.6307,-6.5551,5.4011
1396974394697,0.325,0.13354,0.1239,-0.94314,71.4283,-6.4029,5.5599
1396974394745,0.373,0.07443,0.10735,-0.99961,71.6694,-6.4253,5.8241
1396974394791,0.419,0.08245,0.13568,-0.91442,71.7896,-6.1986,5.6594
1396974394836,0.464,0.087433,0.12511,-0.93666,71.8281,-6.5147,5.931
1396974394884,0.512,0.075043,0.12441,-0.95799,71.7662,-6.5659,5.8739
1396974394930,0.558,0.065496,0.11995,-0.95903,71.7468,-6.7153,5.7429
1396974394975,0.603,-0.052643,0.083977,-1.0846,71.0782,-6.6811,5.8664
1396974395025,0.653,-0.56389,0.045325,-1.3335,67.6573,-5.6904,7.694
1396974395096,0.724,-0.56389,0.045325,-1.3335,67.6573,-5.6904,7.694
1396974395149,0.777,-0.7679,0.079847,-1.2882,65.2135,-4.1535,6.2836
1396974395306,0.934,-0.38874,0.63032,-1.4209,35.6709,6.5398,-3.7001
1396974395351,0.979,-0.20647,0.53645,-1.6501,26.1395,10.4302,-6.5696
1396974395402,1.03,0.053466,0.6406,-1.391,15.9441,16.0659,-8.6554
1396974395466,1.094,0.48848,0.61727,-0.82202,5.1635,22.2615,-9.0982
1396974395517,1.145,0.74021,0.34607,-0.57795,354.7635,26.3095,-5.2835
1396974395566,1.194,0.33802,-0.021323,-0.47657,341.1226,30.3244,8.4054
1396974395616,1.244,0.33802,-0.021323,-0.47657,341.1226,30.3244,8.4054
1396974395666,1.294,0.5435,-0.084695,-0.29383,329.9003,28.9793,29.4286
1396974395716,1.344,0.79675,-0.047196,-0.10169,319.3214,20.1561,61.8323
1396974395762,1.39,0.98277,-0.15345,0.015996,316.7739,9.943,88.1317
1396974395811,1.439,0.79196,-0.11343,0.11254,316.4026,8.8511,94.3143
1396974395858,1.486,0.89678,-0.098402,0.28335,314.5669,7.7308,96.5647
1396974395904,1.532,0.93416,-0.086386,0.25657,313.3057,6.904,97.5586
1396974395955,1.583,1.0385,-0.071123,0.29112,312.1365,6.6284,96.3335
1396974396011,1.639,1.0627,-0.07657,0.25742,311.7151,6.3057,96.1656
1396974396073,1.701,0.99412,-0.10054,0.17283,311.7805,6.5358,96.2346
1396974396131,1.759,0.96967,-0.12181,0.097205,312.1332,7.058,95.8035
1396974396216,1.844,0.89826,-0.16599,0.070479,312.5305,7.8496,94.4475
1396974396262,1.89,0.96727,-0.15101,0.052613,312.5162,7.8541,93.6535
1396974396308,1.936,0.96727,-0.15101,0.052613,312.5162,7.8541,93.6535
1396974396354,1.982,0.96217,-0.13295,0.081657,312.4939,8.1177,93.1807
1396974396399,2.027,0.99946,-0.18296,0.008245,312.8732,8.528,92.3581
1396974396447,2.075,0.92551,-0.17364,-0.010534,313.0386,8.7496,92.0887
1396974396492,2.12,0.91262,-0.14603,0.017508,312.827,8.8707,91.4551
1396974396546,2.174,0.94297,-0.12602,0.053525,312.7046,8.9956,90.9325
1396974396594,2.222,0.89486,-0.18126,-0.004938,312.8103,9.1805,90.1679
