t,tRel,x,y,z,alpha,beta,gamma
1396973165640,0,0.071572,0.13225,-1.0875,332.8617,5.9234,11.8279
1396973165701,0.061,0.19218,-0.038891,-0.99365,329.0007,5.7225,8.3037
1396973165838,0.198,0.18836,-0.060947,-0.92997,328.8568,6.0284,7.9139
1396973165923,0.283,0.030391,-0.059316,-1.045,330.1506,6.4171,6.8155
1396973165972,0.332,0.13159,-0.11504,-0.98852,330.37,8.5183,6.87
1396973166016,0.376,0.094751,-0.12183,-0.85542,330.8657,10.0587,6.6192
1396973166062,0.422,0.056653,-0.12867,-0.91658,331.6419,10.0039,6.374
1396973166106,0.466,0.035838,-0.12951,-1.0056,332.2172,9.3552,6.1429
1396973166164,0.524,0.012659,-0.12596,-0.97965,332.7125,8.8867,5.989
1396973166210,0.57,-0.1258,-0.065841,-1.0885,333.5086,7.879,5.5703
1396973166255,0.615,-0.64367,-0.092012,-1.1277,334.0536,7.4338,5.6694
1396973166302,0.662,-0.60687,0.23498,-0.89326,332.5672,8.1482,4.4543
1396973166346,0.706,-0.33923,0.2192,-1.3594,328.6216,6.8286,5.4743
1396973166396,0.756,-0.38066,0.3771,-1.2672,325.5437,6.984,4.5858
1396973166561,0.921,0.15119,0.47486,-1.0779,312.9592,5.3319,-4.7642
1396973166614,0.974,0.4017,0.31282,-1.1089,307.2951,5.7225,-6.1461
1396973166662,1.022,0.56609,0.16129,-0.97407,302.2064,5.8791,-6.7628
1396973166729,1.089,0.56701,-0.20161,-0.89332,297.4544,6.7134,-6.2872
1396973166774,1.134,0.47284,-0.1935,-0.88036,293.879,7.2948,-5.6167
1396973166821,1.181,0.43845,-0.3297,-0.76513,290.2512,7.536,-6.0934
1396973166897,1.257,0.25597,-0.47136,-0.82675,288.7069,5.886,-6.1529
1396973166947,1.307,0.27707,-0.36272,-0.90062,283.2934,4.0296,0.2362
1396973166996,1.356,0.48346,-0.34634,-0.68181,281.7377,3.1829,7.7272
1396973167042,1.402,0.83724,-0.22811,-0.682,281.6308,5.7236,26.0019
1396973167092,1.452,0.83724,-0.22811,-0.682,281.6308,5.7236,26.0019
1396973167136,1.496,0.89199,-0.0098462,-0.56386,280.5995,8.9369,49.1351
1396973167186,1.546,0.84357,-0.14247,-0.56565,280.921,9.4275,66.5099
1396973167235,1.595,0.92665,-0.27113,-0.58785,283.0093,8.7698,76.4238
1396973167280,1.64,0.95701,-0.24419,-0.28796,283.8711,8.8216,81.0855
1396973167327,1.687,0.97805,-0.20641,-0.11372,283.7679,9.5978,83.8764
1396973167373,1.733,0.9864,-0.19516,-0.062414,283.1367,10.7261,85.6774
1396973167420,1.78,0.9864,-0.19516,-0.062414,283.1367,10.7261,85.6774
1396973167466,1.826,0.9927,-0.16614,-0.034222,282.7918,10.8911,85.1258
1396973167511,1.871,0.96953,-0.15247,-0.043021,282.5184,10.9678,83.6142
1396973167557,1.917,0.97001,-0.18818,-0.066349,282.7134,10.9767,83.3276
1396973167601,1.961,0.97001,-0.18818,-0.066349,282.7134,10.9767,83.3276
1396973167648,2.008,0.93405,-0.13228,-0.12049,283.0828,10.85,82.6862
1396973167693,2.053,0.95159,-0.15615,-0.11854,283.3179,10.3567,82.0111
1396973167740,2.1,0.95159,-0.15615,-0.11854,283.3179,10.3567,82.0111
1396973167785,2.145,0.97004,-0.15779,-0.1706,283.4439,10.1224,81.773
1396973167833,2.193,0.94981,-0.14518,-0.18808,283.4055,9.9694,81.109
