t,tRel,x,y,z,alpha,beta,gamma
1396994541428,0,-0.095918,-0.2036,-0.95746,285.2486,12.2387,-4.9745
1396994541524,0.096,-0.093928,-0.21109,-0.95264,285.2833,12.1849,-5.1736
1396994541647,0.219,-0.087089,-0.21419,-0.9729,285.2472,12.2199,-5.2087
1396994541708,0.28,-0.10651,-0.20048,-0.95557,285.1642,12.2661,-5.3364
1396994541753,0.325,-0.086491,-0.19992,-0.92355,285.0491,12.2965,-5.4327
1396994541801,0.373,-0.086491,-0.19992,-0.92355,285.0491,12.2965,-5.4327
1396994541846,0.418,-0.088361,-0.19993,-0.93613,284.9663,12.0374,-5.4218
1396994541893,0.465,-0.073697,-0.21078,-0.97282,284.9617,11.908,-5.4303
1396994541937,0.509,-0.094885,-0.20927,-0.96229,285.1277,11.8997,-5.7157
1396994541989,0.561,-0.094915,-0.20186,-0.98062,285.2317,11.8215,-6.035
1396994542033,0.605,-0.11004,-0.22019,-0.98177,285.5012,11.7692,-6.6183
1396994542080,0.652,-0.11004,-0.22019,-0.98177,285.5012,11.7692,-6.6183
1396994542150,0.722,-0.17541,-0.23224,-0.91652,286.8852,11.9533,-7.1938
1396994542196,0.768,0.13452,-0.21694,-0.38294,286.2023,11.3753,2.9995
1396994542242,0.814,1.5611,0.15314,-0.85665,281.5346,6.0552,46.6806
1396994542403,0.975,0.38826,-0.23451,0.40525,284.1699,17.0274,122.9237
1396994542448,1.02,0.43565,-0.35008,0.39254,286.3809,17.7891,119.2131
1396994542498,1.07,0.73902,-0.14362,-0.58372,287.7842,15.5316,92.289
1396994542567,1.139,1.5361,0.037724,-1.038,288.1803,11.2803,40.2636
1396994542617,1.189,0.70928,-0.21151,-1.2056,290.1184,9.8786,-1.2652
1396994542666,1.238,-0.052912,-0.24036,-0.78723,290.5554,14.2549,-14.2466
1396994542711,1.283,-0.26995,-0.25862,-0.68429,291.2602,15.8446,-18.3387
1396994542759,1.331,-0.25724,-0.23852,-0.5353,290.3871,16.0981,-12.8389
1396994542804,1.376,0.45206,-0.14422,-0.30528,283.8071,13.7968,19.8293
1396994542851,1.423,1.9672,-0.23002,-1.0575,276.6998,4.0696,81.1482
1396994542899,1.471,1.1881,-0.08444,0.081343,274.4488,7.4691,111.7638
1396994542964,1.536,0.4927,-0.15724,0.48448,277.0709,13.8662,116.4393
1396994543011,1.583,0.44348,-0.28965,0.15312,282.7247,16.8439,111.1863
1396994543059,1.631,0.50188,-0.34064,-0.75607,285.9724,15.0328,86.8076
1396994543147,1.719,0.69571,-0.19348,-1.2269,286.8413,6.8253,0.62323
1396994543192,1.764,0.1636,-0.28168,-0.81985,285.8344,9.7867,-9.7898
1396994543239,1.811,-0.24792,-0.21211,-0.82314,286.191,10.1112,-12.0301
1396994543284,1.856,-0.20876,-0.15571,-0.95217,285.5069,9.1896,-10.0829
1396994543338,1.91,-0.20876,-0.15571,-0.95217,285.5069,9.1896,-10.0829
1396994543392,1.964,-0.10561,-0.13825,-0.8635,283.8885,8.5829,-5.2397
1396994543439,2.011,-0.04115,-0.12631,-0.94908,283.3188,8.1054,-3.6075
1396994543485,2.057,-0.04118,-0.12076,-0.96162,283.092,7.8067,-2.7653
1396994543531,2.103,-0.04118,-0.12076,-0.96162,283.092,7.8067,-2.7653
1396994543576,2.148,-0.038247,-0.12734,-0.95292,282.8406,7.6441,-2.6679
1396994543620,2.192,0.022446,-0.14952,-0.95746,282.6086,7.4374,-2.0471
1396994543667,2.239,-0.066693,-0.13448,-1.0314,283.0368,7.2544,-2.4934
