t,tRel,x,y,z,alpha,beta,gamma
1396974449621,0,-0.072245,-0.090875,-0.95397,81.2473,5.9652,-4.2535
1396974449673,0.052,-0.054797,-0.10077,-0.96838,81.3286,5.9019,-4.5657
1396974449795,0.174,-0.058553,-0.10819,-0.97327,81.3343,5.8627,-4.544
1396974449856,0.235,-0.077752,-0.10029,-0.9927,81.2804,5.8904,-4.2675
1396974449904,0.283,-0.081672,-0.10104,-0.97243,81.3931,5.8773,-4.5895
1396974449951,0.33,-0.082495,-0.10024,-1.0063,81.3413,5.8707,-4.4194
1396974449995,0.374,-0.074864,-0.10777,-0.97338,81.3935,5.9117,-4.5493
1396974450044,0.423,-0.083483,-0.10297,-0.99564,81.5164,5.9361,-4.4921
1396974450119,0.498,-0.040492,-0.095499,-0.96634,81.3677,6.0902,-3.3011
1396974450167,0.546,0.35974,-0.064658,-0.78877,78.3134,6.0117,8.7635
1396974450216,0.595,1.0503,-0.09303,-0.84924,71.1819,2.2157,42.6622
1396974450268,0.647,1.1983,-0.06801,-0.70131,66.8394,-7.5235,86.7323
1396974450313,0.692,0.76573,0.040627,-0.29678,67.0987,-11.2633,107.0668
1396974450359,0.738,0.76573,0.040627,-0.29678,67.0987,-11.2633,107.0668
1396974450521,0.9,0.67184,-0.11012,-0.97348,77.5973,7.7316,6.6323
1396974450568,0.947,0.079083,0.038786,-0.45478,83.0398,9.0492,-10.2687
1396974450615,0.994,0.22905,-0.11965,-0.84779,78.2268,8.5928,6.4213
1396974450676,1.055,0.91096,-0.12284,-0.97203,70.7708,3.8474,38.8426
1396974450725,1.104,1.171,-0.050069,-0.62508,64.7169,-5.8686,79.4448
1396974450771,1.15,0.93778,0.040971,-0.09273,62.7664,-14.5896,109.5404
1396974450816,1.195,0.80831,0.35177,0.53777,60.9485,-14.3157,113.2049
1396974450872,1.251,0.71661,0.27102,0.39576,61.1639,-12.334,111.9643
1396974450924,1.303,0.74181,0.12957,-0.049156,62.1864,-9.4566,101.4614
1396974450971,1.35,1.0038,0.021219,-0.52149,64.0773,-3.6106,72.6869
1396974451018,1.397,1.0222,-0.20057,-0.96485,71.3634,3.6226,31.3323
1396974451074,1.453,1.0222,-0.20057,-0.96485,71.3634,3.6226,31.3323
1396974451127,1.506,0.097609,0.041569,-0.54936,81.3871,6.178,-10.2306
1396974451176,1.555,-0.12638,-0.0309,-1.0333,80.7385,3.9072,-1.8629
1396974451221,1.6,-0.12638,-0.0309,-1.0333,80.7385,3.9072,-1.8629
1396974451268,1.647,0.031888,-0.079966,-0.85566,79.6787,4.4188,0.6741
1396974451312,1.691,0.020695,-0.0087837,-0.90954,80.5049,4.1946,2.4067
1396974451357,1.736,0.020695,-0.0087837,-0.90954,80.5049,4.1946,2.4067
1396974451404,1.783,0.019139,-0.086176,-1.0374,80.2463,3.9006,3.7796
1396974451449,1.828,0.019139,-0.086176,-1.0374,80.2463,3.9006,3.7796
1396974451497,1.876,0.047315,-0.061097,-0.93956,80.4791,3.8547,2.608
1396974451544,1.923,0.02704,-0.087598,-1.0973,80.2362,3.8059,3.0648
1396974451595,1.974,0.058,-0.071676,-0.9376,80.6603,4.07,0.96465
1396974451641,2.02,0.070539,-0.066574,-0.97327,80.0086,4.2112,3.0428
1396974451685,2.064,0.060319,-0.081538,-1.0227,79.9291,4.3855,3.3595
1396974451730,2.109,0.099988,-0.062294,-0.90444,80.0188,4.4663,3.0284
1396974451778,2.157,0.06415,-0.089004,-1.0005,79.9084,4.3696,4.1113
