t,tRel,x,y,z,alpha,beta,gamma
1396974346908,0,0.09915,-0.1412,-0.95984,78.5039,7.6823,7.0397
1396974346953,0.045,0.12861,-0.12218,-0.9364,78.5013,7.9555,7.0424
1396974347123,0.215,0.12318,-0.13999,-0.96741,78.4753,7.9296,6.9614
1396974347170,0.262,0.10678,-0.13581,-0.96557,78.4404,8.0202,7.0764
1396974347222,0.314,0.10906,-0.15479,-1.0033,78.4286,7.9985,6.9314
1396974347274,0.366,0.158,-0.16709,-0.9644,78.2884,8.1872,7.0628
1396974347319,0.411,0.10482,-0.13201,-0.96364,78.4052,8.3503,6.9849
1396974347364,0.456,0.11573,-0.095469,-0.90447,78.4607,8.3207,6.8227
1396974347417,0.509,0.10817,-0.041584,-0.83956,78.5843,8.1598,6.572
1396974347465,0.557,0.10817,-0.041584,-0.83956,78.5843,8.1598,6.572
1396974347510,0.602,0.068983,0.15954,-0.70081,78.9596,8.4041,6.0429
1396974347558,0.65,0.00065841,0.34346,-0.41156,79.1753,8.379,5.7031
1396974347605,0.697,-0.082989,0.42461,-0.34414,79.9841,5.5998,4.3277
1396974347652,0.744,-0.21433,0.45767,-0.77782,80.038,-0.35703,3.785
1396974347806,0.898,-0.48631,-0.2668,-1.9411,73.5621,-15.4763,1.724
1396974347859,0.951,-1.3328,0.16038,-1.9448,64.0776,-11.2207,0.554
1396974347905,0.997,-1.3328,0.16038,-1.9448,64.0776,-11.2207,0.554
1396974347964,1.056,-0.051445,1.0012,-1.9189,31.9776,18.3909,-1.7899
1396974348009,1.101,-0.051445,1.0012,-1.9189,31.9776,18.3909,-1.7899
1396974348072,1.164,-0.051445,1.0012,-1.9189,31.9776,18.3909,-1.7899
1396974348132,1.224,0.51938,0.41908,-0.22341,359.2692,49.81,10.2367
1396974348180,1.272,0.60931,0.21082,-0.02457,353.0233,53.5294,12.4443
1396974348234,1.326,0.60931,0.21082,-0.02457,353.0233,53.5294,12.4443
1396974348280,1.372,0.52967,-0.29203,-0.064703,351.9033,56.0852,6.8191
1396974348323,1.415,0.37525,-0.4978,-0.25495,351.3646,56.1654,7.0568
1396974348369,1.461,0.26393,-0.72854,-0.34255,352.6194,55.5007,5.4299
1396974348415,1.507,0.10765,-0.78424,-0.48873,355.5282,54.533,2.4379
1396974348466,1.558,0.10765,-0.78424,-0.48873,355.5282,54.533,2.4379
1396974348516,1.608,0.062623,-0.7869,-0.50256,355.7232,53.3138,2.3807
1396974348564,1.656,0.08477,-0.75534,-0.6318,355.2669,52.1572,3.1275
1396974348615,1.707,0.08477,-0.75534,-0.6318,355.2669,52.1572,3.1275
1396974348661,1.753,0.060498,-0.79529,-0.69587,355.9676,51.3047,2.2053
1396974348709,1.801,0.07434,-0.76815,-0.62611,356.0807,51.0611,2.4504
1396974348754,1.846,0.0068235,-0.82441,-0.61321,356.4402,50.6521,2.5965
1396974348800,1.892,0.020336,-0.75812,-0.58582,356.8933,50.3121,2.2817
1396974348854,1.946,0.10853,-0.73625,-0.62674,356.1259,49.8825,3.1693
1396974348905,1.997,0.087568,-0.73409,-0.67421,356.1374,49.2713,3.3612
1396974348950,2.042,0.011836,-0.74243,-0.67376,356.614,48.9126,3.4773
1396974348998,2.09,0.026022,-0.73695,-0.63017,357.2852,48.8035,3.0933
1396974349042,2.134,-0.032202,-0.74419,-0.6924,358.0627,48.3679,2.7896
1396974349124,2.216,0.046552,-0.76936,-0.63789,357.7317,48.2706,3.2854
