t,tRel,x,y,z,alpha,beta,gamma
1396970564600,0,0.040028,-0.00208,-0.96355,348.6835,1.1357,2.2892
1396970564699,0.099,0.05776,-0.032651,-0.99929,348.6338,2.9762,5.4543
1396970564765,0.165,0.055396,-0.068339,-1.0323,348.5079,3.3602,4.6441
1396970564880,0.28,0.040956,-0.089109,-0.95228,348.1847,4.7636,1.8457
1396970564938,0.338,0.040028,-0.086386,-0.97257,348.4478,4.9215,1.4347
1396970564992,0.392,0.024675,-0.079532,-0.99389,348.6026,4.9515,1.0658
1396970565040,0.44,0.024675,-0.079532,-0.99389,348.6026,4.9515,1.0658
1396970565084,0.484,0.0208,-0.083049,-0.96784,348.7009,5.0748,0.88964
1396970565133,0.533,-0.0050278,-0.088945,-0.96995,348.8176,5.2105,0.71884
1396970565183,0.583,0.019872,-0.085862,-0.97269,348.8692,5.3287,0.73446
1396970565240,0.64,0.15817,-0.14245,-1.0938,348.8429,7.0256,3.5879
1396970565284,0.684,0.15817,-0.14245,-1.0938,348.8429,7.0256,3.5879
1396970565331,0.731,0.41906,-0.29758,-1.373,348.5707,11.1912,12.2301
1396970565379,0.779,0.69617,-0.38853,-1.2846,347.235,18.84,24.7591
1396970565425,0.825,0.81564,-0.43691,-0.97963,347.7592,27.6976,32.0606
1396970565601,1.001,0.18217,-0.48625,-0.2455,2.2176,52.582,40.817
1396970565672,1.072,0.13119,-0.4811,-0.23225,7.1434,53.9674,39.3307
1396970565723,1.123,0.22027,-0.52593,-0.31113,13.7467,53.2981,34.6757
1396970565771,1.171,-0.18004,-0.64551,-0.44556,13.6769,55.3106,37.7669
1396970565815,1.215,0.27628,-0.74849,-0.5233,14.86,54.4122,35.3541
1396970565864,1.264,0.34565,-0.83032,-0.61399,16.8505,53.8287,31.7234
1396970565909,1.309,0.21865,-0.83311,-0.51335,17.1443,54.2534,31.163
1396970565986,1.386,0.29211,-0.81128,-0.45481,14.9701,54.7735,33.5451
1396970566030,1.43,0.34593,-0.769,-0.33543,14.0008,55.2301,34.6678
1396970566078,1.478,0.37384,-0.7698,-0.35072,15.0151,54.9801,33.3925
1396970566123,1.523,0.39094,-0.75528,-0.35635,17.1972,54.4531,31.4985
1396970566170,1.57,0.34475,-0.74101,-0.36143,20.3857,53.3261,29.0048
1396970566217,1.617,-0.054588,-1.2098,-1.0375,22.9547,52.839,29.3862
1396970566267,1.667,0.18153,-0.85011,-0.54459,24.0588,52.4984,25.959
1396970566317,1.717,0.090291,-0.74774,-0.58245,27.3816,50.7612,15.9217
1396970566365,1.765,0.018331,-0.70819,-0.71998,29.0996,48.4304,6.7816
1396970566413,1.813,-0.052762,-0.63761,-0.64477,26.7422,47.1557,3.744
1396970566463,1.863,-0.0067187,-0.5867,-0.52252,23.3829,45.4284,1.3042
1396970566509,1.909,-0.19454,-0.43866,-0.53374,17.9341,38.1518,-8.7666
1396970566559,1.959,-0.19454,-0.43866,-0.53374,17.9341,38.1518,-8.7666
1396970566613,2.013,-0.24089,-0.35095,-0.46123,13.3521,34.8495,-9.7644
1396970566658,2.058,-0.10883,-0.24042,-0.7093,3.4928,28.1419,-6.9955
1396970566708,2.108,-0.10883,-0.24042,-0.7093,3.4928,28.1419,-6.9955
1396970566757,2.157,0.019977,-0.16936,-1.0059,358.7746,23.3282,-5.3262
1396970566803,2.203,0.10083,-0.23162,-1.4308,351.6086,10.5558,-6.1556
1396970566857,2.257,0.11308,-0.24452,-1.3264,349.7808,6.0976,-5.4366
