t,tRel,x,y,z,alpha,beta,gamma
1396973211757,0,-0.48176,-0.055635,-0.88105,348.6998,3.9652,-31.4485
1396973211804,0.047,-0.48176,-0.055635,-0.88105,348.6998,3.9652,-31.4485
1396973211921,0.164,-0.51115,-0.068773,-0.66288,350.0026,3.8766,-35.413
1396973211967,0.21,-0.55031,-0.045011,-0.79736,349.9714,3.54,-34.5029
1396973212014,0.257,-0.48991,-0.044577,-0.7728,349.8425,3.2066,-34.4577
1396973212061,0.304,-0.50916,-0.026531,-0.82022,349.8103,2.7496,-33.5847
1396973212169,0.412,-0.53219,-0.015817,-0.8551,350.2041,1.5514,-32.4246
1396973212214,0.457,-0.56288,-0.016909,-0.85916,350.5895,1.2998,-31.928
1396973212266,0.509,-0.53482,-0.03913,-0.85135,350.9451,1.2517,-31.6011
1396973212313,0.556,-0.54348,-0.034282,-0.86009,351.458,1.6431,-30.8304
1396973212357,0.6,-0.50317,-0.038053,-0.84632,351.9375,2.0495,-30.4197
1396973212406,0.649,-0.48685,-0.038472,-0.84815,352.252,2.3024,-29.803
1396973212451,0.694,-0.46554,-0.052224,-0.86064,352.4215,2.467,-29.4063
1396973212501,0.744,-0.47706,-0.049156,-0.87421,352.6583,2.6445,-29.1025
1396973212546,0.789,-0.47881,-0.060409,-0.88201,352.9319,2.739,-29.113
1396973212593,0.836,-0.50361,-0.066454,-0.90829,353.3927,2.9291,-29.7066
1396973212638,0.881,-0.50361,-0.066454,-0.90829,353.3927,2.9291,-29.7066
1396973212686,0.929,-0.53822,-0.083917,-0.83607,354.0991,3.5151,-30.9401
1396973212901,1.144,0.39925,-0.12668,-0.63413,350.9377,7.3126,3.031
1396973212951,1.194,0.37578,-0.035733,0.58763,338.2904,-0.3297,134.4326
1396973212993,1.236,0.67316,-0.09505,-0.0079458,335.8768,1.8833,116.1958
1396973213047,1.29,0.67316,-0.09505,-0.0079458,335.8768,1.8833,116.1958
1396973213097,1.34,1.1375,-0.23089,-1.1933,342.3067,15.582,15.5398
1396973213142,1.385,0.57521,-0.17213,-0.57423,350.0506,14.5516,-31.8496
1396973213190,1.433,0.57521,-0.17213,-0.57423,350.0506,14.5516,-31.8496
1396973213238,1.481,-0.47247,-0.036063,-0.29137,353.0127,13.5059,-42.4741
1396973213285,1.528,-0.6646,-0.22163,-0.74947,353.9981,9.7838,-46.2373
1396973213328,1.571,-0.55034,-0.076764,-0.40607,355.4142,9.4992,-44.6123
1396973213373,1.616,0.13792,-0.064449,-0.20065,353.3155,13.9697,-15.4547
1396973213423,1.666,1.918,-0.03316,-1.0726,340.9431,10.0106,49.1765
1396973213474,1.717,1.929,-0.53412,-1.2098,341.006,-2.0362,104.548
1396973213520,1.763,0.64434,0.058598,0.052358,338.1543,-1.4775,122.3262
1396973213568,1.811,0.48468,0.12347,0.78029,334.719,-2.6417,129.9546
1396973213613,1.856,0.53611,0.037095,0.62565,335.646,-2.5289,129.4256
1396973213663,1.906,0.72248,0.031184,0.026665,338.4107,-1.276,115.0022
1396973213708,1.951,1.4077,-0.1699,-0.71296,341.2677,0.7879,79.2337
1396973213759,2.002,1.3306,-0.17063,-1.446,344.6996,5.7407,25.7914
1396973213806,2.049,0.67006,-0.06008,-0.90178,348.6941,6.4145,-24.7507
1396973213865,2.108,-0.33453,0.10222,-0.3866,350.3792,8.806,-33.6994
1396973213931,2.174,-0.52135,-0.16116,-1.0238,349.8748,8.5424,-32.5373
1396973213978,2.221,-0.46428,-0.10701,-0.76903,350.7189,7.3197,-37.1118
