t,tRel,x,y,z,alpha,beta,gamma
1396968186262,0,-0.11504,-0.04938,-0.92702,30.7427,6.1332,7.0112
1396968186308,0.046,0.018226,-0.078829,-1.0761,31.1007,3.9133,2.3607
1396968186420,0.158,0.08664,-0.052852,-0.95668,29.3723,4.1479,2.4823
1396968186468,0.206,0.053151,-0.059511,-0.96368,28.6168,3.9836,2.5442
1396968186514,0.252,0.058643,-0.049126,-0.91915,27.8119,3.9185,2.2114
1396968186562,0.3,0.077258,-0.067681,-0.97612,27.2191,3.7886,2.1971
1396968186606,0.344,0.069776,-0.078814,-0.99554,26.74,3.8645,2.3918
1396968186665,0.403,0.083243,-0.080116,-0.99932,26.354,3.9773,2.8449
1396968186722,0.46,0.11031,-0.10503,-0.97315,26.2396,4.3683,3.5768
1396968186779,0.517,0.053585,-0.10344,-0.94837,26.3479,4.486,3.624
1396968186825,0.563,0.053585,-0.10344,-0.94837,26.3479,4.486,3.624
1396968186873,0.611,0.066095,-0.093658,-0.98885,26.7253,4.3323,3.3311
1396968186918,0.656,0.035449,-0.092102,-1.0171,27.2059,4.1987,2.9096
1396968186965,0.703,0.035449,-0.092102,-1.0171,27.2059,4.1987,2.9096
1396968187011,0.749,-0.1435,0.045265,-1.0505,28.5445,3.9011,2.0109
1396968187168,0.906,-1.7694,0.32878,-1.4115,36.2216,5.9953,1.4857
1396968187219,0.957,-0.89916,0.94878,-1.4016,14.841,13.1339,0.11072
1396968187285,1.023,1.1254,1.3727,-0.95421,342.6807,23.5521,1.9162
1396968187338,1.076,1.5047,0.038636,-0.82654,320.7653,22.7443,11.3099
1396968187391,1.129,1.5047,0.038636,-0.82654,320.7653,22.7443,11.3099
1396968187437,1.175,0.32965,0.073816,-0.02493,330.0229,27.1749,-1.3996
1396968187485,1.223,0.32965,0.073816,-0.02493,330.0229,27.1749,-1.3996
1396968187528,1.266,0.55011,0.30996,-0.16276,330.5838,27.2301,0.67808
1396968187580,1.318,0.9076,0.6674,-0.064374,334.7912,25.7653,-0.17101
1396968187627,1.365,1.2821,1.3062,0.026456,346.73,16.4201,0.33205
1396968187723,1.461,-1.1476,1.1004,-1.94,32.9977,-21.5001,4.992
1396968187778,1.516,-0.38645,1.0088,-1.9355,38.3477,-24.7182,17.6063
1396968187829,1.567,-0.38931,0.92177,-1.9358,45.0147,-27.2046,23.7819
1396968187875,1.613,-0.52812,0.71932,-1.9375,49.7896,-28.2926,27.2938
1396968187922,1.66,-0.40088,0.84662,-1.6724,50.5599,-27.774,27.3957
1396968187967,1.705,-0.28741,1.0627,-1.3219,51.0522,-25.6768,22.0611
1396968188017,1.755,-0.30269,1.132,-1.0154,47.5905,-22.7389,19.5396
1396968188061,1.799,-0.085398,1.1509,-0.62064,40.7688,-18.8594,16.8872
1396968188112,1.85,-0.33034,0.76993,-0.15977,31.8476,-14.9526,14.8962
1396968188162,1.9,-0.37104,0.58818,-0.011911,15.6157,-12.135,10.4652
1396968188207,1.945,1.3825,1.131,-0.40556,352.5899,-14.0527,-1.9705
1396968188261,1.999,1.86,0.5701,-1.5152,342.1764,-19.8408,-7.2589
1396968188310,2.048,0.61853,0.096486,-1.4978,343.0454,-23.3619,-9.3548
1396968188359,2.097,0.032965,0.35879,-0.92931,343.7609,-20.4014,-5.357
1396968188402,2.14,0.064075,0.32654,-0.66348,343.6754,-19.3213,-4.7859
1396968188449,2.187,-0.044338,0.32515,-0.93672,345.7274,-21.0751,-6.257
