t,tRel,x,y,z,alpha,beta,gamma
1396975121130,0,0.039085,-0.26878,-0.94043,17.8279,17.2747,2.2637
1396975121271,0.141,0.054663,-0.28515,-0.95198,17.2255,16.6988,2.5845
1396975121395,0.265,0.062309,-0.28162,-0.95289,16.976,16.6527,2.8171
1396975121443,0.313,0.03919,-0.27447,-0.95301,16.6576,16.652,2.9544
1396975121488,0.358,0.052657,-0.27759,-0.94906,16.4616,16.7179,2.9974
1396975121542,0.412,0.051371,-0.25593,-0.92677,16.2981,16.7383,3.0585
1396975121586,0.456,0.047779,-0.27458,-0.93362,16.0366,16.7023,3
1396975121632,0.502,0.047779,-0.27458,-0.93362,16.0366,16.7023,3
1396975121676,0.546,0.049829,-0.2822,-0.94909,15.9139,16.5572,3.0289
1396975121725,0.595,0.062279,-0.27972,-0.949,15.6671,16.5481,2.998
1396975121770,0.64,0.062279,-0.27972,-0.949,15.6671,16.5481,2.998
1396975121820,0.69,0.052253,-0.25675,-0.89971,15.5523,16.5295,3.0831
1396975121867,0.737,0.04528,-0.24051,-0.87261,15.3578,16.1968,3.2055
1396975121913,0.783,0.062309,-0.27515,-0.9722,15.1761,15.7059,3.4177
1396975121956,0.826,0.062309,-0.27515,-0.9722,15.1761,15.7059,3.4177
1396975122097,0.967,-0.0011821,-0.21201,-0.84478,14.9146,15.1273,3.71
1396975122183,1.053,-0.12062,0.030167,-0.39422,14.2137,13.7297,4.5038
1396975122231,1.101,0.26785,0.31636,-0.71054,13.3026,5.4818,2.7988
1396975122295,1.165,-0.14154,0.035494,-1.8768,13.7355,-0.58539,2.8568
1396975122345,1.215,-0.085234,-0.25652,-1.9385,11.1895,-2.9951,5.3519
1396975122408,1.278,-0.43187,-0.24385,-1.9407,6.5986,-1.4788,5.8106
1396975122457,1.327,-0.11495,-0.090007,-1.9381,2.8927,3.0704,3.562
1396975122517,1.387,-0.098551,0.11072,-1.7816,357.9874,11.0959,2.5901
1396975122568,1.438,0.18679,0.31813,-1.1508,352.3113,21.3433,1.3739
1396975122620,1.49,0.33302,0.2955,-0.6155,346.7923,32.0446,0.41816
1396975122664,1.534,0.46169,0.063192,-0.15654,342.0339,40.8562,0.070963
1396975122712,1.582,0.47859,-0.12825,0.024496,339.2433,46.3038,-1.3506
1396975122757,1.627,0.41203,-0.40707,-0.085249,337.5342,48.8696,-1.1266
1396975122805,1.675,0.27797,-0.54508,-0.28377,337.3703,49.6739,-1.3126
1396975122850,1.72,0.27797,-0.54508,-0.28377,337.3703,49.6739,-1.3126
1396975122899,1.769,0.12683,-0.62534,-0.4474,338.4167,49.2956,-2.5604
1396975122944,1.814,0.015682,-0.6905,-0.5682,339.0841,48.7199,-2.6804
1396975122991,1.861,-0.029853,-0.71585,-0.63044,339.4864,48.1321,-2.7202
1396975123037,1.907,-0.0020949,-0.71923,-0.59644,339.6746,47.6922,-2.6717
1396975123087,1.957,-0.049919,-0.71271,-0.66825,340.1907,46.9797,-2.8263
1396975123166,2.036,-0.080355,-0.72616,-0.70617,340.7444,46.2202,-3.183
1396975123210,2.08,-0.00089783,-0.70852,-0.69884,340.4948,45.5274,-2.7136
1396975123258,2.128,-0.010684,-0.69698,-0.68823,340.4699,45.3538,-2.5021
1396975123310,2.18,-0.012794,-0.6782,-0.69107,340.5397,45.1173,-2.3685
1396975123354,2.224,-0.00044891,-0.67371,-0.66488,340.6164,44.8798,-2.2673
1396975123403,2.273,-0.00044891,-0.67371,-0.66488,340.6164,44.8798,-2.2673
