t,tRel,x,y,z,alpha,beta,gamma
1396967286184,0.0,0.4123413845736719,-0.17212813012496567,-1.2276119374847412,250.6911766229415,10.680935370871277,1.2662336750255252
1396967286204,0.02,0.4123413845736719,-0.17212813012496567,-1.2276119374847412,250.6911766229415,10.680935370871277,1.2662336750255252
1396967286220,0.036,0.4123413845736719,-0.17212813012496567,-1.2276119374847412,250.6911766229415,10.680935370871277,1.2662336750255252
1396967286271,0.087,0.4123413845736719,-0.17212813012496567,-1.2276119374847412,250.6911766229415,10.680935370871277,1.2662336750255252
1396967286285,0.101,-0.03265092514038086,-0.1663970101292955,-1.0603171110943703,252.05505534722704,9.633113816329475,-0.9261491466409084
1396967286344,0.16,-0.03265092514038086,-0.1663970101292955,-1.0603171110943703,252.05505534722704,9.633113816329475,-0.9261491466409084
1396967286361,0.177,-0.10236708564537111,-0.30469208877563475,-0.9839869310572651,251.40165396148956,9.858746229653866,-0.8397073687029738
1396967286376,0.192,-0.10236708564537111,-0.30469208877563475,-0.9839869310572651,251.40165396148956,9.858746229653866,-0.8397073687029738
1396967286391,0.207,-0.10236708564537111,-0.30469208877563475,-0.9839869310572651,251.40165396148956,9.858746229653866,-0.8397073687029738
1396967286411,0.227,-0.10236708564537111,-0.30469208877563475,-0.9839869310572651,251.40165396148956,9.858746229653866,-0.8397073687029738
1396967286426,0.242,-0.14469956831558606,-0.13025953407287597,-0.9642347986420301,250.5148151332076,10.006008083671608,1.1623813210769298
1396967286440,0.256,-0.14469956831558606,-0.13025953407287597,-0.9642347986420301,250.5148151332076,10.006008083671608,1.1623813210769298
1396967286463,0.279,-0.14469956831558606,-0.13025953407287597,-0.9642347986420301,250.5148151332076,10.006008083671608,1.1623813210769298
1396967286479,0.295,-0.014006079255256335,-0.26925790420532225,-1.1195436454363912,250.32924071674847,9.374311236778931,-0.22266419289361403
1396967286493,0.309,-0.014006079255256335,-0.26925790420532225,-1.1195436454363912,250.32924071674847,9.374311236778931,-0.22266419289361403
1396967286516,0.332,0.11278185830047353,-0.09160813371520489,-0.8977059197821096,249.36733945811568,10.01282966720978,0.2154449425140526
1396967286524,0.34,0.11278185830047353,-0.09160813371520489,-0.8977059197821096,249.36733945811568,10.01282966720978,0.2154449425140526
1396967286542,0.358,0.11278185830047353,-0.09160813371520489,-0.8977059197821096,249.36733945811568,10.01282966720978,0.2154449425140526
1396967286557,0.373,0.11278185830047353,-0.09160813371520489,-0.8977059197821096,249.36733945811568,10.01282966720978,0.2154449425140526
1396967286572,0.388,0.13842974769481692,-0.20979192777771502,-0.9907804782679583,249.21573289565214,9.728462847193288,-0.2607933775694517
1396967286587,0.403,0.13842974769481692,-0.20979192777771502,-0.9907804782679583,249.21573289565214,9.728462847193288,-0.2607933775694517
1396967286601,0.417,0.13842974769481692,-0.20979192777771502,-0.9907804782679583,249.21573289565214,9.728462847193288,-0.2607933775694517
1396967286620,0.436,0.06329670433542109,-0.13887866004943847,-0.8682272972283884,249.05182154841478,10.121939758799991,0.06787042764807477
1396967286639,0.455,0.06329670433542109,-0.13887866004943847,-0.8682272972283884,249.05182154841478,10.121939758799991,0.06787042764807477
1396967286650,0.466,0.06329670433542109,-0.13887866004943847,-0.8682272972283884,249.05182154841478,10.121939758799991,0.06787042764807477
1396967286674,0.49,0.005746084098539431,-0.24521114858765153,-1.0816404696301372,249.32838466618924,9.70364025357151,0.24781543214491392
1396967286691,0.507,0.005746084098539431,-0.24521114858765153,-1.0816404696301372,249.32838466618924,9.70364025357151,0.24781543214491392
1396967286705,0.521,0.005746084098539431,-0.24521114858765153,-1.0816404696301372,249.32838466618924,9.70364025357151,0.24781543214491392
1396967286720,0.536,0.031438860549926756,-0.16680103873764163,-0.9980678569705225,249.42068305530506,10.176125254864425,0.46417395456561533
1396967286735,0.551,0.031438860549926756,-0.16680103873764163,-0.9980678569705225,249.42068305530506,10.176125254864425,0.46417395456561533
1396967286749,0.565,0.031438860549926756,-0.16680103873764163,-0.9980678569705225,249.42068305530506,10.176125254864425,0.46417395456561533
1396967286769,0.585,-0.05175964851047611,-0.21992238624572752,-1.1901426522772014,249.87505728588516,10.151169042512521,-0.20527062557373965
1396967286782,0.598,-0.05175964851047611,-0.21992238624572752,-1.1901426522772014,249.87505728588516,10.151169042512521,-0.20527062557373965
1396967286796,0.612,-0.05175964851047611,-0.21992238624572752,-1.1901426522772014,249.87505728588516,10.151169042512521,-0.20527062557373965
1396967286810,0.626,-0.00797568382373778,0.01945288848876953,-1.0226981955895944,250.09819748205177,12.024811173304588,-0.9154330523918806
1396967286825,0.641,-0.00797568382373778,0.01945288848876953,-1.0226981955895944,250.09819748205177,12.024811173304588,-0.9154330523918806
1396967286843,0.659,-0.00797568382373778,0.01945288848876953,-1.0226981955895944,250.09819748205177,12.024811173304588,-0.9154330523918806
1396967286864,0.68,-0.00797568382373778,0.01945288848876953,-1.0226981955895944,250.09819748205177,12.024811173304588,-0.9154330523918806
1396967286891,0.707,0.015367780079497023,0.3661632310131937,-0.8549993549755961,250.38489002736867,14.185454302748067,-0.9734649525780296
1396967286913,0.729,0.015367780079497023,0.3661632310131937,-0.8549993549755961,250.38489002736867,14.185454302748067,-0.9734649525780296
1396967286929,0.745,-0.20395605209792964,0.7708281882476806,0.48753427680969236,251.39772948521534,18.11349632161016,-0.991511637094577
1396967286945,0.761,-0.20395605209792964,0.7708281882476806,0.48753427680969236,251.39772948521534,18.11349632161016,-0.991511637094577
1396967286960,0.776,-0.4594024109561182,1.0879850601904093,0.6127959149169921,251.84057317874596,16.07628894235359,-1.9354640803393899
1396967287077,0.893,-0.4594024109561182,1.0879850601904093,0.6127959149169921,251.84057317874596,16.07628894235359,-1.9354640803393899
1396967287090,0.906,0.15234604256118647,0.5574449506732077,-0.2851194902038574,241.80326373236258,4.558817804980992,-1.3986726239802367
1396967287107,0.923,0.15234604256118647,0.5574449506732077,-0.2851194902038574,241.80326373236258,4.558817804980992,-1.3986726239802367
1396967287122,0.938,0.34718917828987816,0.20428525208625475,-1.9339912097930907,233.0884647285332,-11.879279786165343,0.8501537539083965
1396967287137,0.953,0.34718917828987816,0.20428525208625475,-1.9339912097930907,233.0884647285332,-11.879279786165343,0.8501537539083965
1396967287159,0.975,0.34718917828987816,0.20428525208625475,-1.9339912097930907,233.0884647285332,-11.879279786165343,0.8501537539083965
1396967287180,0.996,0.792091677128896,-0.18543088935300706,-1.9326743988800046,227.5576296215345,-20.612040663059602,-3.5142085142373163
1396967287196,1.012,0.792091677128896,-0.18543088935300706,-1.9326743988800046,227.5576296215345,-20.612040663059602,-3.5142085142373163
1396967287211,1.027,1.041372972192075,-0.24708161132812498,-1.931327718898356,221.86503968996246,-24.416958220536202,1.111398757850636
1396967287235,1.051,1.041372972192075,-0.24708161132812498,-1.931327718898356,221.86503968996246,-24.416958220536202,1.111398757850636
1396967287250,1.066,1.041372972192075,-0.24708161132812498,-1.931327718898356,221.86503968996246,-24.416958220536202,1.111398757850636
1396967287264,1.08,-0.3462314948858693,0.24832360343933102,-1.938196084910929,220.80171231985787,-24.083675104250656,0.6295683509074265
1396967287280,1.096,-0.3462314948858693,0.24832360343933102,-1.938196084910929,220.80171231985787,-24.083675104250656,0.6295683509074265
1396967287295,1.111,-0.3462314948858693,0.24832360343933102,-1.938196084910929,220.80171231985787,-24.083675104250656,0.6295683509074265
1396967287313,1.129,-0.8734047418787982,0.7668927192687988,-0.7546823054150492,216.822650353281,-19.123028029866067,0.7716492299417146
1396967287332,1.148,-0.8734047418787982,0.7668927192687988,-0.7546823054150492,216.822650353281,-19.123028029866067,0.7716492299417146
1396967287347,1.163,-0.8734047418787982,0.7668927192687988,-0.7546823054150492,216.822650353281,-19.123028029866067,0.7716492299417146
1396967287362,1.178,-1.2649165774890034,0.5039794494628906,-1.0404003533404693,209.81610314537136,-16.97228886098531,3.67241502744656
1396967287385,1.201,-1.2649165774890034,0.5039794494628906,-1.0404003533404693,209.81610314537136,-16.97228886098531,3.67241502744656
1396967287395,1.211,-1.2649165774890034,0.5039794494628906,-1.0404003533404693,209.81610314537136,-16.97228886098531,3.67241502744656
1396967287412,1.228,-0.7646631189727783,0.5979069879559427,-1.4099004663848875,201.54790087555438,-13.618147455627216,-2.509714402072828
1396967287428,1.244,-0.7646631189727783,0.5979069879559427,-1.4099004663848875,201.54790087555438,-13.618147455627216,-2.509714402072828
1396967287442,1.258,-0.7646631189727783,0.5979069879559427,-1.4099004663848875,201.54790087555438,-13.618147455627216,-2.509714402072828
1396967287463,1.279,-0.7646631189727783,0.5979069879559427,-1.4099004663848875,201.54790087555438,-13.618147455627216,-2.509714402072828
1396967287478,1.294,-0.6229264026110991,0.5261407785797119,-1.9243844756317139,191.50414885174362,-9.082940248062721,-5.262080398170416
1396967287493,1.309,-0.6229264026110991,0.5261407785797119,-1.9243844756317139,191.50414885174362,-9.082940248062721,-5.262080398170416
1396967287513,1.329,-0.23404817604064937,0.6012738230807521,-1.9361160637664796,180.7075759580974,-2.1403107428753168,-10.040763248551762
1396967287528,1.344,-0.23404817604064937,0.6012738230807521,-1.9361160637664796,180.7075759580974,-2.1403107428753168,-10.040763248551762
1396967287543,1.359,-0.23404817604064937,0.6012738230807521,-1.9361160637664796,180.7075759580974,-2.1403107428753168,-10.040763248551762
1396967287562,1.378,0.4696525977734476,0.714384884109497,-0.9715670263848827,161.07834925744766,14.859747546847446,-6.98230111409014
1396967287577,1.393,0.4696525977734476,0.714384884109497,-0.9715670263848827,161.07834925744766,14.859747546847446,-6.98230111409014
1396967287594,1.41,0.4696525977734476,0.714384884109497,-0.9715670263848827,161.07834925744766,14.859747546847446,-6.98230111409014
1396967287608,1.424,0.4696525977734476,0.714384884109497,-0.9715670263848827,161.07834925744766,14.859747546847446,-6.98230111409014
1396967287623,1.439,1.2166584941156207,0.7844302172033488,-0.16151882949829102,154.29830915551494,21.56696668071131,-6.761945014217667
1396967287639,1.455,1.2166584941156207,0.7844302172033488,-0.16151882949829102,154.29830915551494,21.56696668071131,-6.761945014217667
1396967287654,1.47,1.2166584941156207,0.7844302172033488,-0.16151882949829102,154.29830915551494,21.56696668071131,-6.761945014217667
1396967287669,1.485,1.2166584941156207,0.7844302172033488,-0.16151882949829102,154.29830915551494,21.56696668071131,-6.761945014217667
1396967287684,1.5,1.2166584941156207,0.7844302172033488,-0.16151882949829102,154.29830915551494,21.56696668071131,-6.761945014217667
1396967287701,1.517,1.2166584941156207,0.7844302172033488,-0.16151882949829102,154.29830915551494,21.56696668071131,-6.761945014217667
1396967287716,1.532,0.22822726594787088,0.10172364303588866,-0.2090886237335205,151.05890903127172,25.432069587364033,-5.904412242477645
1396967287731,1.547,0.22822726594787088,0.10172364303588866,-0.2090886237335205,151.05890903127172,25.432069587364033,-5.904412242477645
1396967287746,1.562,0.22822726594787088,0.10172364303588866,-0.2090886237335205,151.05890903127172,25.432069587364033,-5.904412242477645
1396967287761,1.577,0.13811550827026367,-0.03663128540039062,-0.06813000099182129,150.57607973081252,26.103799317151136,-5.4454606524136375
1396967287775,1.591,0.13811550827026367,-0.03663128540039062,-0.06813000099182129,150.57607973081252,26.103799317151136,-5.4454606524136375
1396967287790,1.606,0.13811550827026367,-0.03663128540039062,-0.06813000099182129,150.57607973081252,26.103799317151136,-5.4454606524136375
1396967287809,1.625,0.13811550827026367,-0.03663128540039062,-0.06813000099182129,150.57607973081252,26.103799317151136,-5.4454606524136375
1396967287825,1.641,0.13811550827026367,-0.03663128540039062,-0.06813000099182129,150.57607973081252,26.103799317151136,-5.4454606524136375
1396967287839,1.655,0.13811550827026367,-0.03663128540039062,-0.06813000099182129,150.57607973081252,26.103799317151136,-5.4454606524136375
1396967287864,1.68,0.13811550827026367,-0.03663128540039062,-0.06813000099182129,150.57607973081252,26.103799317151136,-5.4454606524136375
1396967287889,1.705,-0.019048863305356354,-0.31344588859558103,-0.6220435188293456,150.94370268642544,24.7922611360506,-4.530254142790952
1396967287915,1.731,-0.019048863305356354,-0.31344588859558103,-0.6220435188293456,150.94370268642544,24.7922611360506,-4.530254142790952
1396967287930,1.746,-0.13218986281463876,-0.4157680729133542,-0.883116222362807,151.96467814282093,23.522967333850026,-5.253324175227985
1396967287945,1.761,-0.13218986281463876,-0.4157680729133542,-0.883116222362807,151.96467814282093,23.522967333850026,-5.253324175227985
1396967287960,1.776,-0.07983166160583496,-0.4362983612823486,-0.9717765336431935,152.57768555054804,22.613873780724617,-5.944761743950956
1396967287976,1.792,-0.07983166160583496,-0.4362983612823486,-0.9717765336431935,152.57768555054804,22.613873780724617,-5.944761743950956
1396967287990,1.806,-0.07983166160583496,-0.4362983612823486,-0.9717765336431935,152.57768555054804,22.613873780724617,-5.944761743950956
1396967288008,1.824,-0.07983166160583496,-0.4362983612823486,-0.9717765336431935,152.57768555054804,22.613873780724617,-5.944761743950956
1396967288033,1.849,-0.16832734046936032,-0.3821594725888036,-1.0852018592126667,152.85579719575964,21.680349379280806,-5.888073393412063
1396967288048,1.864,-0.16832734046936032,-0.3821594725888036,-1.0852018592126667,152.85579719575964,21.680349379280806,-5.888073393412063
1396967288063,1.879,-0.12328642356430179,-0.41820716768126937,-0.9507225081811471,153.55231517442937,21.169362777953875,-7.440314041614316
1396967288078,1.894,-0.12328642356430179,-0.41820716768126937,-0.9507225081811471,153.55231517442937,21.169362777953875,-7.440314041614316
1396967288093,1.909,-0.12328642356430179,-0.41820716768126937,-0.9507225081811471,153.55231517442937,21.169362777953875,-7.440314041614316
1396967288107,1.923,-0.14869488320281726,-0.30680197168212386,-0.897301873592441,153.74795248636883,20.7647651086832,-6.871488444050367
1396967288127,1.943,-0.14869488320281726,-0.30680197168212386,-0.897301873592441,153.74795248636883,20.7647651086832,-6.871488444050367
1396967288142,1.958,-0.14869488320281726,-0.30680197168212386,-0.897301873592441,153.74795248636883,20.7647651086832,-6.871488444050367
1396967288158,1.974,-0.14869488320281726,-0.30680197168212386,-0.897301873592441,153.74795248636883,20.7647651086832,-6.871488444050367
1396967288175,1.991,-0.09982324729477055,-0.3199551152259763,-0.8390629574817046,154.28020678924074,20.309612476843714,-7.414925499339195
1396967288194,2.01,-0.09982324729477055,-0.3199551152259763,-0.8390629574817046,154.28020678924074,20.309612476843714,-7.414925499339195
1396967288208,2.024,-0.16871640189239753,-0.3046771140554733,-0.9505728705773875,154.379265435684,19.563802460544906,-7.109521295354062
1396967288225,2.041,-0.16871640189239753,-0.3046771140554733,-0.9505728705773875,154.379265435684,19.563802460544906,-7.109521295354062
1396967288240,2.056,-0.16871640189239753,-0.3046771140554733,-0.9505728705773875,154.379265435684,19.563802460544906,-7.109521295354062
1396967288255,2.071,-0.16871640189239753,-0.3046771140554733,-0.9505728705773875,154.379265435684,19.563802460544906,-7.109521295354062
1396967288270,2.086,-0.10172364120925777,-0.3618237331976369,-0.9841964620617777,154.55883712852727,19.347254803062448,-7.160281036925394
1396967288288,2.104,-0.10172364120925777,-0.3618237331976369,-0.9841964620617777,154.55883712852727,19.347254803062448,-7.160281036925394
1396967288303,2.119,-0.10172364120925777,-0.3618237331976369,-0.9841964620617777,154.55883712852727,19.347254803062448,-7.160281036925394
1396967288318,2.134,-0.1484853942108154,-0.3218555146203562,-0.9099014013848663,154.93046293242287,19.645415636357914,-6.922276396374134
1396967288333,2.149,-0.1484853942108154,-0.3218555146203562,-0.9099014013848663,154.93046293242287,19.645415636357914,-6.922276396374134
1396967288348,2.164,-0.1484853942108154,-0.3218555146203562,-0.9099014013848663,154.93046293242287,19.645415636357914,-6.922276396374134
