t,tRel,x,y,z,alpha,beta,gamma
1396973223770,0.0,-0.4083460530184337,-0.17468693497588855,-0.9061754264212214,358.8075386735208,10.038390844677737,-24.876151973071302
1396973223788,0.018,-0.4083460530184337,-0.17468693497588855,-0.9061754264212214,358.8075386735208,10.038390844677737,-24.876151973071302
1396973223804,0.034,-0.4231152746913815,-0.14799158281188457,-0.8829666313381352,359.07137504378034,9.972590567876209,-24.974629472789697
1396973223962,0.192,-0.4231152746913815,-0.14799158281188457,-0.8829666313381352,359.07137504378034,9.972590567876209,-24.974629472789697
1396973223978,0.208,-0.4075828959876951,-0.17350479790618642,-0.8520215721406694,359.4399823235814,9.82931834492273,-25.636599278525832
1396973223993,0.223,-0.4209754626658384,-0.163119955169289,-0.899441692239521,359.45334575156926,9.634783790222428,-25.589487300682546
1396973224008,0.238,-0.4209754626658384,-0.163119955169289,-0.899441692239521,359.45334575156926,9.634783790222428,-25.589487300682546
1396973224023,0.253,-0.4209754626658384,-0.163119955169289,-0.899441692239521,359.45334575156926,9.634783790222428,-25.589487300682546
1396973224040,0.27,-0.4209754626658384,-0.163119955169289,-0.899441692239521,359.45334575156926,9.634783790222428,-25.589487300682546
1396973224055,0.285,-0.4123413809204101,-0.16425719193887314,-0.8964788877780177,359.5069204796379,9.578008805825725,-25.675771727616038
1396973224070,0.3,-0.4123413809204101,-0.16425719193887314,-0.8964788877780177,359.5069204796379,9.578008805825725,-25.675771727616038
1396973224085,0.315,-0.4123413809204101,-0.16425719193887314,-0.8964788877780177,359.5069204796379,9.578008805825725,-25.675771727616038
1396973224100,0.33,-0.4162618936737685,-0.16497545977198474,-0.8742726669234108,359.60028613148614,9.696321478806784,-25.715268382791198
1396973224115,0.345,-0.4162618936737685,-0.16497545977198474,-0.8742726669234108,359.60028613148614,9.696321478806784,-25.715268382791198
1396973224133,0.363,-0.4162618936737685,-0.16497545977198474,-0.8742726669234108,359.60028613148614,9.696321478806784,-25.715268382791198
1396973224149,0.379,-0.4258237267358764,-0.16751929575367336,-0.8714445206647639,359.7088917214174,9.877080175901947,-25.77317797526968
1396973224164,0.394,-0.4258237267358764,-0.16751929575367336,-0.8714445206647639,359.7088917214174,9.877080175901947,-25.77317797526968
1396973224178,0.408,-0.4258237267358764,-0.16751929575367336,-0.8714445206647639,359.7088917214174,9.877080175901947,-25.77317797526968
1396973224193,0.423,-0.4190601106991968,-0.17140986854235668,-0.869484280727763,359.83494297544974,10.016082661314746,-26.139791703625416
1396973224208,0.438,-0.4190601106991968,-0.17140986854235668,-0.869484280727763,359.83494297544974,10.016082661314746,-26.139791703625416
1396973224229,0.459,-0.4190601106991968,-0.17140986854235668,-0.869484280727763,359.83494297544974,10.016082661314746,-26.139791703625416
1396973224251,0.481,-0.4190601106991968,-0.17140986854235668,-0.869484280727763,359.83494297544974,10.016082661314746,-26.139791703625416
1396973224267,0.497,-0.5040243553570658,-0.19204489701202138,-0.9368062183380127,0.08955895959595135,10.056796219389817,-27.873512436370188
1396973224281,0.511,-0.5040243553570658,-0.19204489701202138,-0.9368062183380127,0.08955895959595135,10.056796219389817,-27.873512436370188
1396973224299,0.529,-0.5090820944910449,-0.19615993476867674,-0.8489090898895263,0.9337508525448419,9.951013544076595,-32.738217245667606
1396973224312,0.542,-0.5090820944910449,-0.19615993476867674,-0.8489090898895263,0.9337508525448419,9.951013544076595,-32.738217245667606
1396973224327,0.557,-0.5090820944910449,-0.19615993476867674,-0.8489090898895263,0.9337508525448419,9.951013544076595,-32.738217245667606
1396973224341,0.571,-0.5004928713757172,-0.17188871247056753,-0.6322787455395609,1.9268601620899528,10.208930390865095,-36.11832459733865
1396973224356,0.586,-0.5004928713757172,-0.17188871247056753,-0.6322787455395609,1.9268601620899528,10.208930390865095,-36.11832459733865
1396973224379,0.609,-0.5004928713757172,-0.17188871247056753,-0.6322787455395609,1.9268601620899528,10.208930390865095,-36.11832459733865
1396973224394,0.624,0.15851111366271972,-0.1489642381961085,-0.3303399740600586,1.7245164479186603,11.883734875785986,-22.54320476589399
1396973224409,0.639,0.15851111366271972,-0.1489642381961085,-0.3303399740600586,1.7245164479186603,11.883734875785986,-22.54320476589399
1396973224429,0.659,0.15851111366271972,-0.1489642381961085,-0.3303399740600586,1.7245164479186603,11.883734875785986,-22.54320476589399
1396973224444,0.674,0.9792733702850341,-0.017043723068237305,-0.8059032425689697,355.18647548693633,10.965642184323322,19.654118785078378
1396973224458,0.688,0.9792733702850341,-0.017043723068237305,-0.8059032425689697,355.18647548693633,10.965642184323322,19.654118785078378
1396973224474,0.704,0.9792733702850341,-0.017043723068237305,-0.8059032425689697,355.18647548693633,10.965642184323322,19.654118785078378
1396973224489,0.719,0.9792733702850341,-0.017043723068237305,-0.8059032425689697,355.18647548693633,10.965642184323322,19.654118785078378
1396973224506,0.736,1.967046156463623,-0.17167922827347182,-1.1887660447748005,352.4351089036193,0.9097180914072946,73.48814428834204
1396973224522,0.752,1.967046156463623,-0.17167922827347182,-1.1887660447748005,352.4351089036193,0.9097180914072946,73.48814428834204
1396973224536,0.766,1.967046156463623,-0.17167922827347182,-1.1887660447748005,352.4351089036193,0.9097180914072946,73.48814428834204
1396973224657,0.887,0.6598120500183106,0.03919009025131352,0.36742018505814483,346.0654295732079,0.5776970595073329,110.7642208494137
1396973224672,0.902,0.6598120500183106,0.03919009025131352,0.36742018505814483,346.0654295732079,0.5776970595073329,110.7642208494137
1396973224687,0.917,0.6598120500183106,0.03919009025131352,0.36742018505814483,346.0654295732079,0.5776970595073329,110.7642208494137
